"","year","month","UTME","UTMN"
"1",2012,7,748061,9838502
"2",2012,7,749082,9834896
"3",2012,7,747672,9835597
"4",2012,7,748892,9836170
"5",2012,7,747407,9836735
"6",2012,7,748206,9837953
"7",2012,7,746430,9838248
"8",2012,7,747047,9838265
"9",2012,7,748477,9838427
"10",2012,7,748061,9838502
"11",2012,7,747569,9838508
"12",2012,7,745903,9838594
"13",2012,7,743669,9840260
"14",2012,7,749030,9836442
"15",2012,7,749028,9836453
"16",2012,7,746997,9836480
"17",2012,7,749072,9836818
"18",2012,7,749138,9837259
"19",2012,7,750544,9837776
"20",2012,7,748569,9837854
"21",2012,7,748447,9838146
"22",2012,7,746269,9838353
"23",2012,7,748477,9838427
"24",2012,7,748477,9838427
"25",2012,7,748477,9838427
"26",2012,7,748477,9838427
"27",2012,7,748061,9838502
"28",2012,7,748061,9838502
"29",2012,7,744901,9839388
"30",2012,7,744432,9840047
"31",2012,7,743755,9840163
"32",2012,7,749135,9837106
"33",2012,7,748876,9837244
"34",2012,7,749138,9837259
"35",2012,7,749138,9837259
"36",2012,7,749649,9837304
"37",2012,7,749015,9837310
"38",2012,7,749010,9837318
"39",2012,7,748565,9837620
"40",2012,7,748650,9837676
"41",2012,7,751282,9837756
"42",2012,7,748403,9837760
"43",2012,7,748248,9837964
"44",2012,7,748356,9838122
"45",2012,7,746095,9838250
"46",2012,7,748477,9838427
"47",2012,7,748477,9838427
"48",2012,7,745921,9838526
"49",2012,7,745538,9838646
"50",2012,7,745310,9838783
"51",2012,7,744762,9839466
"52",2012,7,744656,9839883
"53",2012,7,744243,9840089
"54",2012,7,743046,9840369
"55",2012,7,747371,9836013
"56",2012,7,749168,9837118
"57",2012,7,749138,9837259
"58",2012,7,749138,9837259
"59",2012,7,748893,9837534
"60",2012,7,751530,9837604
"61",2012,7,748280,9837816
"62",2012,7,748302,9837822
"63",2012,7,748259,9837845
"64",2012,7,748216,9837848
"65",2012,7,748427,9837989
"66",2012,7,748438,9838021
"67",2012,7,746887,9838268
"68",2012,7,748477,9838427
"69",2012,7,748477,9838427
"70",2012,7,748477,9838427
"71",2012,7,746763,9838456
"72",2012,7,746140,9838486
"73",2012,7,748061,9838502
"74",2012,7,748061,9838502
"75",2012,7,746031,9838616
"76",2012,7,743481,9840794
"77",2012,7,743481,9840794
