UTME,UTMN,Month,Year,Count,Territory
721024.4896,9849210.024,7,2012,2,North
722943.7711,9845243.67,7,2012,1,North
722069.0174,9846890.206,7,2012,3,North
724498.7542,9846457.937,7,2012,1,North
724968.5311,9840229.87,8,2012,2,South
725861.9816,9845487.25,8,2012,2,South
727339.5011,9843926.442,8,2012,1,South
745176.5711,9837563.746,8,2012,3,West
744619.843,9839926.297,8,2012,2,West
747050.9229,9833378.809,8,2012,1,West
723126.1011,9844877.207,9,2012,1,North
722770.7728,9846285.028,9,2012,1,North
727553.7582,9842520.677,9,2012,2,South
744616.4066,9839508.429,10,2012,1,West
749201.5189,9837455.832,10,2012,1,West
749755.6183,9834371.813,10,2012,1,West
725482.7743,9837694.365,10,2012,2,South
722225.3809,9845780.216,11,2012,1,North
723674.7586,9840335.758,11,2012,1,South
724451.7342,9841516.101,11,2012,1,South
726302.4184,9842457.23,11,2012,2,South
745853.7649,9839125.624,12,2012,2,West
743674.4833,9840134.769,12,2012,2,West
746474.2524,9837049.943,1,2013,1,West
749114.1897,9837219.358,1,2013,1,West
748342.9028,9835624.89,1,2013,1,West
725869.0374,9845733.384,1,2013,2,South
721185.1502,9848826.318,1,2013,2,North
720402.8184,9851800.973,2,2013,2,North
720910.9145,9850020.233,2,2013,2,North
724517.3306,9846499.135,2,2013,1,North
725977.4394,9844988.455,2,2013,2,South
726461.5625,9845215.811,2,2013,2,South
727928.8117,9840535.678,2,2013,1,South
748173.3354,9836596.748,2,2013,2,West
743575.6595,9839389.256,3,2013,2,West
744537.1514,9839882.528,3,2013,2,West
748684.9505,9836327.345,3,2013,1,West
722194.5933,9846939.922,3,2013,2,North
724204.8098,9846762.43,3,2013,2,North
746740.2541,9836905.733,5,2013,2,West
748095.498,9836679.601,5,2013,2,West
751052.6034,9837919.138,5,2013,2,West
727344.3871,9844045.453,7,2013,1,South
728797.9267,9841184.175,7,2013,1,South
725538.6486,9844347.638,7,2013,1,South
726394.5348,9843980.978,7,2013,1,South
727144.2528,9842549.864,7,2013,1,South
748666.5471,9835874.458,7,2013,2,West
742365.3143,9839822.474,7,2013,1,West
742959.9069,9839413.657,7,2013,1,West
745099.9248,9838665.719,7,2013,1,West
742829.9025,9839425.862,7,2013,1,West
746320.5513,9837285.306,7,2013,1,West
741973.0257,9840211.459,8,2013,1,West
750937.023,9837941.874,8,2013,1,West
742946.1052,9839316.632,8,2013,1,West
744547.9253,9839944.774,8,2013,2,West
725172.5397,9841311.059,8,2013,2,South
744552.0707,9839819.726,9,2013,1,West
743993.5295,9840069.906,9,2013,1,West
720849.5501,9846249.049,9,2013,1,North
727959.6954,9841405.395,10,2013,1,South
726271.7311,9842690.82,10,2013,2,South
747478.7609,9834306.081,11,2013,1,West
747264.9912,9834881.826,11,2013,1,West
725097.2764,9842197.176,11,2013,1,South
725428.5867,9843263.874,11,2013,7,South
727086.56,9842730.515,11,2013,2,South
728457.9009,9842060.704,11,2013,2,South
726436.8721,9842583.397,11,2013,6,South
724644.9036,9844867.976,12,2013,2,South
748872.7456,9837094.865,1,2014,1,West
747672.6864,9835510.896,1,2014,1,West
742355.5222,9840001.688,1,2014,4,West
747429.6767,9838088.606,1,2014,1,West
751232.2942,9837860.213,1,2014,1,West
744633.0077,9839942.053,2,2014,2,West
743410.3517,9838115.015,2,2014,2,West
743721.8348,9838147.566,2,2014,1,West
743548.364,9838207.885,2,2014,1,West
744503.7879,9840131.293,2,2014,1,West
744207.5544,9838713.445,2,2014,1,West
750867.1176,9837647.852,2,2014,1,West
748699.0904,9835172.676,2,2014,1,West
720916.468,9847649.079,2,2014,1,North
723937.882,9844621.016,2,2014,1,South
725864.5005,9836840.729,2,2014,1,South
721290.8762,9848411.158,3,2014,6,North
727550.9505,9841803.308,3,2014,1,South
