Name ,Abbrev,GPS Abbrev,Category,UTME,UTMN,Date Created,Description,Territory
17km Den,17km D,17KM D,cd,718327,9835105,29-Jun-08,Communal Den across the road from the 17km sign,17km
17km Marker,17km M,17KM M,o,718179,9834952,7-Jul-10,Junction 17km from Serena Lodge,17km
3 Broomsticks Den,3 Broomsticks D,3BRMSTIK D,cd,717702,9849474,5-Nov-10,communal den near long road to Olooloo,North
4km Marker,4km M,4KM M,o,721917,9844632,29-Jun-08,Junction 4km from Serena Lodge,North
4th of July Den,4th of July D,4 JULY D,cd,719707,9847154,17-Dec-12,communal den near EMA ND 12,
50km Sign,50km S,50KM S,o,716696,9848039,25-Oct-06,,
9km Marker,9km M,9KM M,o,718048,9842058,11-Jul-08,9km from Serena Lodge on Main Road,HZ
Aarhus Den,Aarhus D,AARHUS D,cd,719884,9851382,28-Feb-11,North communal den on the northern European cities plain (N of HP dens),North
Airfield,Airfield,AIRFLD,o,723651,9844648,2-Aug-08,Serena Airfield,North
Airstrip Den,Airstrip D,AIRSTD,cd,723463,9844931,3-Aug-08,communal den on Main Road near Airstrip,North
Ajira Den,Ajira D,AJIRA D,cd,727214,9840612,23-Jan-11,South communal den in the Lost series,South
Alamo Den,Alamo D,ALAMO D,cd,719098,9840106,9-May-11,HZ communal den on the American battles plain,HZ
Alumni Den,Alumni D,ALUM D,cd,718903,9833540,4-Jul-08,Same Plain as 17km D,17km
Amazon Den,Amazon D,AMAZON,cd,719656,9838561,10-Feb-09,"communal den in Happy Zebra, near CERN Den",HZ
Ambush Gardenia,Ambush,AMBUSH,t,718904,9844347,11-Nov-06,,
Arson Den,Arson D,ARSON D,cd,717309,9844189,15-Sep-10,communal den near Long Gardenia T,HZ
Baiting Tree,Baiting T,BAIT T,t,714322,9833880,7-Oct-08,Tree near the TZ border,
Bakery Den,Bakery D,BAKE D,cd,722709,9844770,24-Aug-08,communal den on plain across Main Road from Airstrip,North
Ballerina Tree,Ballerina T,BALLER,t,717036,9842690,16-Feb-09,,
Balloon Takeoff,Ball Take,B_TAKEOFF,o,727604,9844450,17-Nov-11,the middle of the small flat plain where the Transworld Balloons launch from,South
Baobab Tree,Baobab T,BAOBAB,t,718077,9837971,16-Jul-08,SW of Main Road,HZ
Bart Dropoff,BART Dropoff,BART DO,t,728317,9840034,8-Aug-12,tree/thicket used behind decoral for darted individuals in South,South
Bartlett Natal Den,BART ND,BART ND,nd,725802,9841738,22-Oct-12,"Natal den used by BART October 2012, determined by GPS data",South
Beautiful Balanites,Beautiful Balanites,BEAUT,t,709818,9844865,9-Sep-06,,
Beauxbatons Den,Beauxbatons D,BEAUXBAT D,cd,718987,9850937,17-Sep-10,communal den near long road to Olooloo,North
Belgrade Den,Belgrade D,Belgrade D,cd ,719841,9851154,29-Aug-12,communal den near Krakow D,North
Bellagio ND,Bellagio ND,BELLAGIO ND,nd,726391,9840882,14-Sep-13,natal den used by bellagio september 13,South
Benedict Den,Benedict D,BENE D,nd,723973,9846252,7-Jul-11,natal den on the breakfast plain,North
Benson's Crossing,Bensons X,Bensons X,x,725932,9841732,2-Sep-12,lugga rossing in south near low road to mara bridge,South
Bergen Den,Bergen D,BERGEN D,cd,720253,9851464,24-Aug-11,communal den on the Northern European Cities plain near Mega J,North
Best Crossing,Best X,BEST X,x,726656,9829104,8-Aug-06,,
Best Friends Forever Water Hole,BFF H2O,BFF H2O,wtr,723988,9845795,7-Mar-14,water hole near muffin den where Waffles and LCS like to hang out,North
Big Sky Den,Big Sky D,BIGSKD,cd,725670,9841131,24-Oct-09,communal den near Foggy D,South
Bila Gardenia,Bila Gardenia,BILA G,t,732450,9854949,23-Jun-06,,
Bila Main Road,Bila Main Road,BILA M,x,732452,9857972,23-Jun-06,,
Biscuits n' Gravy Den,BNG D,BnG D ,cd,722792,9846134,30-Sep-13,communal den on the breakfast plain,North
Bizence,Bizence,BIZENCE,wtr,724988,9840114,3-Oct-11,water hole in South territory,South
Black Crossing,Black X,BLACK,x,714587,9844464,4-Jul-06,,
Blowin' in the Wind Tree,Wind T,WIND T,t,721116,9845013,10-Jul-08,Tree along Main Road,North
Boneyard,Boneyard,BONEYD,o,720670,9841483,24-Sep-08,Hillside along SST census route,HZ
Boo Tree,Boo T,BOO T,t,722656,9846214,7-Sep-08,On River Loop Road,North
Boone Den,Boone D,BOONE D,cd,725499,9840852,20-Oct-10,communal den in South territory,South
Bordello Den,Bordello D,BORDELLO D,cd,721485,9847576,4-Jul-10,communal den near Lion Lugga,North
Border Marker 4,Border M4,BM4,o,709150,9837094,19-Aug-06,,
Border Marker 5,Border M5,BM5,o,704050,9839960,19-Aug-06,,
Border Trees,Border Trees,BORDER,t,720488,9830439,5-Aug-06,,
Breakfast Bush,Breakfast B,BF BSH,t,719231,9841421,27-Nov-08,On hill south of Main Road,North
Broken Crossing,Broken X,BROKEN,x,740928,9835199,13-Aug-06,,
Bubula Den,Bubula D,BUBULA D,cd,720534,9840559,1-Oct-13,communal den in the yiddish words valley,HZ
Budapest Den,Budapest D,Budapest D,cd ,719781,9851170,29-Aug-12,communal den near Krakow D,North
Burnt Crossing,Burnt X,BURNT,x,715967,9841842,24-Jan-09,"crossing on lugga in area burnt Jan 14, 09",Olare?
Butt Plug Den,Blug D,BLUG D,nd,720659,9852234,3-Mar-14,natal den used by DIGS,
Calexico Den,Calexico D,CALEXICO D,cd,716384,9842738,29-Mar-12,communal den in the HZ border cities plain ,HZ
Caracal Rock,Caracal R,CARCLR,o,722859,9837928,15-Jul-08,Large rock at West side of Oz Valley,OZ
Casino X,Casino X,CSINOX,x,727028,9841002,9-Jan-11,South territory lugga crossing shown by TAJ,South
CERN Den,CERN D,CERN D,cd,719534,9838825,23-Nov-08,communal Den west of Scrawny Sausage T,HZ
Chamber of Secrets Den,Chamber of Secrets D,CHM SCRT D,cd,717726,9849379,28-Oct-10,communal den near long road to Olooloo,North
Cheerleader Tree,Cheerleader T,CHEERT,t,719397,9843946,11-Feb-09,tree in burned area N of main road,North?
Chex Den,Chex D,CHEX D,cd,723983,9846130,29-Jul-11,communal D just south of benedict D on the breakfast plain,North
Cinnabon Den,Cinnabon D,CINNABON D,cd,724027,9845768,11-Sep-13,,North
Claire Den,Claire D,CLAIRE D,cd,725383,9840846,6-Apr-14,den used by whiz and bart ,South
Cobra Corner,Cobra Corner,COBRA,o,704405,9846869,6-Jun-06,,
Cobweb T,Cobweb T,COBWEB T,t,725991,9842794,19/10/11,tree in South territory,South
