SESSION,DATE,landmarkid,utme,utmn
102060,7/2/2012,Nose Tree (Fig Tree),742032,9840414
102061,7/2/2012,Tawny Tree (Talek),742727,9840316
102059,7/2/2012,Moon Den (Fig Tree),0,0
102062,7/3/2012,Moon Den (Fig Tree),0,0
102063,7/3/2012,Tawny Tree (Talek),743002,9840481
102064,7/3/2012,Nose Tree (Fig Tree),0,0
102065,7/3/2012,Fallopian Tree (Fig Tree),741195,9840667
102066,7/3/2012,Moon Den (Fig Tree),0,0
102068,7/4/2012,Sabre Gateway X (Fig Tree),740398,9838532
102069,7/4/2012,Sabre Gateway X (Fig Tree),740909,9838884
102067,7/4/2012,Moon Den (Fig Tree),0,0
102070,7/4/2012,Moon Den (Fig Tree),0,0
102071,7/5/2012,Moon Den (Fig Tree),0,0
102072,7/5/2012,Fallopian Tree (Fig Tree),741414,9840418
102074,7/7/2012,Tawny Tree (Talek),742814,9840344
102075,7/7/2012,Moon Den (Fig Tree),0,0
102076,7/7/2012,MJ Lane Bottom (Fig Tree),739640,9841404
102077,7/7/2012,Nose Tree (Fig Tree),741835,9840430
102079,7/8/2012,Moon Den (Fig Tree),0,0
102078,7/8/2012,MJ Lane Top (Fig Tree),740040,9840144
102082,7/11/2012,Nose Tree (Fig Tree),741580,9840413
102080,7/11/2012,Murram Pit Lugga-East Fork (Fig Tree),740786,9842094
102081,7/11/2012,Moon Den (Fig Tree),0,0
102083,7/13/2012,MJ Lane Top (Fig Tree),740257,9840234
102084,7/13/2012,Moon Den (Fig Tree),0,0
102090,7/14/2012,Tawny Tree (Talek),742873,9840357
102085,7/14/2012,Moon Den (Fig Tree),0,0
102086,7/14/2012,MJ Lane Top (Fig Tree),740269,9840230
102087,7/14/2012,Moon Den (Fig Tree),0,0
102088,7/14/2012,MJ Lane Top (Fig Tree),740269,9840230
102089,7/14/2012,Moon Den (Fig Tree),0,0
102093,7/15/2012,Moon Den (Fig Tree),0,0
102091,7/15/2012,Murram Pit Lugga-East Fork (Fig Tree),740807,9841756
102092,7/15/2012,Murram Pit Lugga-East Fork (Fig Tree),740983,9841762
102094,7/16/2012,Nose Tree (Fig Tree),742332,9840956
102095,7/16/2012,Moon Den (Fig Tree),0,0
102096,7/16/2012,Nose Tree (Fig Tree),741956,9841178
102097,7/17/2012,Tawny Tree (Talek),742900,9841091
102098,7/17/2012,Moon Den (Fig Tree),0,0
102099,7/17/2012,Tawny Tree (Talek),742326,9840391
102100,7/18/2012,Tawny Tree (Talek),743064,9840363
102102,7/18/2012,Moon Den (Fig Tree),0,0
102101,7/18/2012,Tawny Tree (Talek),742830,9840662
102103,7/21/2012,Moon Den (Fig Tree),0,0
102104,7/22/2012,Critter Crossing (Fig Tree),741209,9841014
102105,7/22/2012,Moon Den (Fig Tree),0,0
102105,7/22/2012,MJ Lane Top (Fig Tree),740887,9840320
102106,7/22/2012,Moon Den (Fig Tree),0,0
102107,7/24/2012,Moon Den (Fig Tree),0,0
102108,7/25/2012,MJ Lane Top (Fig Tree),740149,9840210
102110,7/25/2012,Critter Crossing (Fig Tree),741183,9841502
102109,7/25/2012,MJ Lane Top (Fig Tree),740247,9840217
102108,7/25/2012,Deadwood Crossing (Fig Tree),739704,9839953
102108,7/25/2012,Deadwood Crossing (Fig Tree),739194,9840250
102108,7/25/2012,Deadwood Crossing (Fig Tree),739569,9839985
102108,7/25/2012,Moon Den (Fig Tree),0,0
102108,7/25/2012,Buffalo Lugga Communal Den (Fig Tree),0,0
102115,7/26/2012,MJ Lane Top (Fig Tree),740248,984236
102119,7/26/2012,MJ Lane Top (Fig Tree),740096,984182
102118,7/26/2012,Moon Den (Fig Tree),0,0
102117,7/26/2012,Gomer's Lugga (Fig Tree),742297,9840958
102120,7/26/2012,Moon Den (Fig Tree),0,0
102114,7/26/2012,MJ Lane Top (Fig Tree),740001,9840220
102113,7/26/2012,MJ Lane Top (Fig Tree),740248,984236
102112,7/26/2012,Moon Den (Fig Tree),0,0
102111,7/26/2012,Tawny Tree (Talek),743040,9840342
102116,7/26/2012,Tantalizing Communal Den (Fig tree),0,0
102115,7/26/2012,Moon Den (Fig Tree),0,0
102124,7/27/2012,Moon Den (Fig Tree),0,0
102125,7/27/2012,MJ Lane Top (Fig Tree),740252,9840229
102123,7/27/2012,Critter Crossing (Fig Tree),741419,9841174
102122,7/27/2012,Gomer's Lugga (Fig Tree),742530,9840911
102121,7/27/2012,Gomer's Lugga (Fig Tree),742577,9840849
102126,7/27/2012,Moon Den (Fig Tree),0,0
102136,7/28/2012,Gomer's Lugga (Fig Tree),742591,9841454
102141,7/28/2012,Moon Den (Fig Tree),0,0
102145,7/28/2012,Moon Den (Fig Tree),0,0
102144,7/28/2012,MJ Lane Top (Fig Tree),740249,9840236
102142,7/28/2012,MJ Lane Top (Fig Tree),0,0
102140,7/28/2012,MJ Lane Top (Fig Tree),740826,9840330
102139,7/28/2012,MJ Lane Top (Fig Tree),740249,9840236
102138,7/28/2012,Tantalizing Communal Den (Fig tree),0,0
102137,7/28/2012,Moon Den (Fig Tree),0,0
102129,7/28/2012,Moon Den (Fig Tree),0,0
102135,7/28/2012,Fallopian Tree (Fig Tree),741178,9840370
102128,7/28/2012,MJ Lane Top (Fig Tree),740212,9840084
102143,7/28/2012,Tantalizing Communal Den (Fig tree),0,0
102130,7/28/2012,MJ Lane Top (Fig Tree),740848,9840332
102127,7/28/2012,Moon Den (Fig Tree),0,0
102131,7/28/2012,Moon Den (Fig Tree),0,0
