SESSION,DATE,landmarkid,utme,utmn,clan
S9698,11/8/2012,Comatose Culvert (HZ),718410,9841242,happy zebra
S9699,11/12/2012,Culvert City (HZ),718526,9842766,happy zebra
S9700,11/12/2012,Culvert City (HZ),718526,9842766,happy zebra
S9701,11/12/2012,Culvert City (HZ),718526,9842766,happy zebra
S9702,11/14/2012,Murram Pit Three (HZ),718836,9836585,happy zebra
S9703,11/14/2012,Serena Maji Fisi (HZ),719588,9838739,happy zebra
S9704,11/14/2012,North Waterhole (HZ),0,0,happy zebra
S9705,11/14/2012,North Waterhole (HZ),719915,9842708,happy zebra
S9706,11/14/2012,Egyptian Goose (HZ),718854,9840365,happy zebra
S9708,11/14/2012,Knot Tree (North),719162,9842197,happy zebra
S9709,11/15/2012,Serena Maji Fisi (HZ),719532,9838746,happy zebra
S9710,11/15/2012,Egyptian Goose (HZ),718853,9840154,happy zebra
S9711,11/15/2012,Comatose Culvert (HZ),718382,9841288,happy zebra
S9711,11/15/2012,Comatose Culvert (HZ),718536,9841288,happy zebra
S9712,11/15/2012,Breakfast Bush (North),718728,9841758,happy zebra
S9712,11/15/2012,Comatose Culvert (HZ),718553,9841486,happy zebra
S9712,11/15/2012,Comatose Culvert (HZ),718274,9841379,happy zebra
S9712,11/15/2012,Comatose Culvert (HZ),718184,9841331,happy zebra
S9712,11/15/2012,Comatose Culvert (HZ),717931,9841296,happy zebra
S9712,11/15/2012,Sneaky Crossing (HZ),717830,9841276,happy zebra
S9712,11/15/2012,Sneaky Crossing (HZ),717664,9841311,happy zebra
S9712,11/15/2012,Sneaky Crossing (HZ),717529,9841307,happy zebra
S9712,11/15/2012,Sneaky Crossing (HZ),717245,9841401,happy zebra
S9712,11/15/2012,Sneaky Crossing (HZ),717126,9841503,happy zebra
S9713,11/15/2012,9km Marker (HZ),0,0,happy zebra
S9714,11/17/2012,Comatose Culvert (HZ),718407,9841226,happy zebra
S9715,11/17/2012,Breakfast Bush (North),718695,9841390,happy zebra
S9716,11/17/2012,Comatose Culvert (HZ),718460,9841116,happy zebra
S9717,11/17/2012,Serena Maji Fisi (HZ),719151,9838326,happy zebra
S9718,11/17/2012,Masai Mama Tree (HZ?),721164,9843882,happy zebra
S9719,11/19/2012,Knot Tree (North),719158,9842192,happy zebra
S9720,11/19/2012,Rumpy Culvert (HZ),718735,9837818,happy zebra
S9721,11/19/2012,Murram Pit Three (HZ),718583,9836102,happy zebra
S9722,11/19/2012,Sneaky Crossing (HZ),718241,9840872,happy zebra
S9723,11/19/2012,Comatose Culvert (HZ),718415,9841230,happy zebra
S9724,11/19/2012,Sneaky Crossing (HZ),718016,9841112,happy zebra
S9726,11/19/2012,Comatose Culvert (HZ),718220,9841304,happy zebra
S9726,11/19/2012,Comatose Culvert (HZ),718222,9841170,happy zebra
S9727,11/21/2012,Comatose Culvert (HZ),718411,9841241,happy zebra
S9728,11/21/2012,Egyptian Goose (HZ),718794,9840351,happy zebra
S9729,11/21/2012,Murram Pit Three (HZ),718707,9836905,happy zebra
S9730,11/21/2012,Rumpy Culvert (HZ),718879,9838258,happy zebra
S9731,11/21/2012,Pride Rock (HZ),718506,9838866,happy zebra
S9732,11/21/2012,Comatose Culvert (HZ),718389,9841255,happy zebra
S9733,11/21/2012,9km Marker (HZ),0,0,happy zebra
S9734,11/22/2012,Egyptian Goose (HZ),718471,9840767,happy zebra
S9735,11/22/2012,Comatose Culvert (HZ),0,0,happy zebra
S9736,11/22/2012,Metropolitan Tree (HZ),716468,9842586,happy zebra
S9737,11/23/2012,Windsor Den (HZ),0,0,happy zebra
S9738,11/23/2012,Burnt Crossing (Olare?),716155,9841306,happy zebra
S9739,11/23/2012,Sneaky Crossing (HZ),717130,9841698,happy zebra
S9740,11/25/2012,,0,0,happy zebra
S9741,11/25/2012,Metropolitan Tree (HZ),716463,9842576,happy zebra
S9743,11/25/2012,North Darting Tree (North),719462,9845660,happy zebra
S9744,11/27/2012,Metropolitan Tree (HZ),0,0,happy zebra
S9745,11/27/2012,Sneaky Crossing (HZ),717135,9841678,happy zebra
S9746,11/27/2012,The Giver (HZ),718828,9838496,happy zebra
S9747,11/27/2012,Comatose Culvert (HZ),718291,9841400,happy zebra
S9748,12/1/2012,Culvert City (HZ),0,0,happy zebra
S9749,12/1/2012,Metropolitan Tree (HZ),716462,9842582,happy zebra
S9750,12/1/2012,Burnt Crossing (Olare?),716165,9841304,happy zebra
S10180,7/31/2013,9km Marker (HZ),717800,9841948,happy zebra
S10181,7/31/2013,Holy Grail Den (HZ),0,0,happy zebra
S10208.1,7/31/2013,Schmutzy Den (HZ),720073,9839941,happy zebra
S9820,10/21/2012,Windsor Den (HZ),0,0,happy zebra
S9821,10/21/2012,Culvert City (HZ),0,0,happy zebra
S9821.1,10/21/2012,Culvert City (HZ),718911,9842690,happy zebra
S9822,10/24/2012,Culvert City (HZ),718579,9842773,happy zebra
S9823,10/24/2012,Culvert City (HZ),0,0,happy zebra
S9824,10/24/2012,Comatose Culvert (HZ),718057,9841785,happy zebra
S9825,10/24/2012,Culvert City (HZ),0,0,happy zebra
S9826,10/26/2012,Metropolitan Tree (HZ),0,0,happy zebra
S9826,10/26/2012,Metropolitan Tree (HZ),716173,9842606,happy zebra
S9826,10/26/2012,Burnt Crossing (Olare?),0,0,happy zebra
S9827,10/26/2012,Metropolitan Tree (HZ),716380,9842592,happy zebra
S9828,10/26/2012,Metropolitan Tree (HZ),716376,9842590,happy zebra
S9829,10/26/2012,Mexicali Den (HZ),0,0,happy zebra
S9830,10/26/2012,Culvert City (HZ),0,0,happy zebra
S9831,10/26/2012,Culvert City (HZ),0,0,happy zebra
S9832,10/29/2012,Metropolitan Tree (HZ),716424,9842600,happy zebra
S9833,10/29/2012,Ballerina Tree (South),717312,9842838,happy zebra
S9618,7/10/2012,Windsor Den (HZ),0,0,happy zebra
S9619,7/15/2012,Culvert City (HZ),0,0,happy zebra
S9620,7/15/2012,Windsor Den (HZ),0,0,happy zebra
S9621,7/20/2012,Windsor Den (HZ),0,0,happy zebra
S9622,7/20/2012,Knot Tree (North),719202,9842562,happy zebra
S9623,7/25/2012,Egyptian Goose (HZ),0,0,happy zebra
S9623.1,7/26/2012,Culvert City (HZ),0,0,happy zebra
S9624,7/26/2012,Windsor Den (HZ),0,0,happy zebra
S9624.1,7/26/2012,Culvert City (HZ),0,0,happy zebra
S9625,7/28/2012,Culvert City (HZ),0,0,happy zebra
S9626,7/28/2012,Windsor Den (HZ),0,0,happy zebra
S9626,7/28/2012,Windsor Den (HZ),0,0,happy zebra
S9627,7/28/2012,Baobab Tree (HZ),718312,9841368,happy zebra
S9628,7/31/2012,Culvert City (HZ),0,0,happy zebra
S9629,7/31/2012,Windsor Den (HZ),0,0,happy zebra
S9629.1,7/31/2012,Culvert City (HZ),0,0,happy zebra
S9630,8/4/2012,Windsor Den (HZ),0,0,happy zebra
S9631,8/5/2012,Egyptian Goose (HZ),718456,9840778,happy zebra
S9633,8/6/2012,Ballerina Tree (South),0,0,happy zebra
S9634.1,8/6/2012,Windsor Den (HZ),0,0,happy zebra
S9634.2,8/8/2012,Culvert City (HZ),0,0,happy zebra
S9634.2,8/8/2012,Culvert City (HZ),717835,9842524,happy zebra
S9634.2,8/8/2012,Ballerina Tree (South),717498,9842840,happy zebra
S9634.2,8/8/2012,Ballerina Tree (South),717295,9842898,happy zebra
S9635,8/10/2012,Metropolitan Tree (HZ),716049,9842920,happy zebra
S9635,8/10/2012,Metropolitan Tree (HZ),0,0,happy zebra
S9635,8/10/2012,Ballerina Tree (South),717338,9843292,happy zebra
S9635,8/10/2012,Ballerina Tree (South),717338,9843438,happy zebra
S9635,8/10/2012,Culvert City (HZ),717777,9843576,happy zebra
S9635,8/10/2012,Ambush Gardenia (),718353,9843836,happy zebra
S9635,8/10/2012,Ambush Gardenia (),718661,9844134,happy zebra
S9636,8/10/2012,Culvert City (HZ),0,0,happy zebra
S9637,8/10/2012,Windsor Den (HZ),0,0,happy zebra
S9637.1,8/10/2012,Metropolitan Tree (HZ),716292,9842630,happy zebra
S9638,8/10/2012,Culvert City (HZ),0,0,happy zebra
S9639,8/10/2012,Culvert City (HZ),718360,9842712,happy zebra
S9640,8/13/2012,Egyptian Goose (HZ),0,0,happy zebra
S9641,8/6/2012,Egyptian Goose (HZ),0,0,happy zebra
S9642,8/13/2012,Blowin' in the Wind Tree (North),0,0,happy zebra
S9643,8/6/2012,Ballerina Tree (South),717096,9842564,happy zebra
S9644,8/19/2012,9km Marker (HZ),718071,9842170,happy zebra
S9645,8/19/2012,Metropolitan Tree (HZ),716415,9842764,happy zebra
S9645,8/19/2012,Windsor Den (HZ),716396,9842730,happy zebra
S9646,8/19/2012,Calexico Den (HZ),0,0,happy zebra
S9647,8/19/2012,Egyptian Goose (HZ),718357,9839530,happy zebra
S9648,8/21/2012,Calexico Den (HZ),0,0,happy zebra
S9649,8/21/2012,Windsor Den (HZ),0,0,happy zebra
S9649.1,8/23/2012,Calexico Den (HZ),0,0,happy zebra
S9650,8/26/2012,Metropolitan Tree (HZ),0,0,happy zebra
S9651,8/26/2012,Calexico Den (HZ),0,0,happy zebra
S9652,8/26/2012,Egyptian Goose (HZ),0,0,happy zebra
S9653,8/26/2012,,718837,9836794,happy zebra
S9654,8/30/2012,Calexico Den (HZ),0,0,happy zebra
S9655,8/30/2012,Metropolitan Tree (HZ),0,0,happy zebra
S9656,8/30/2012,Calexico Den (HZ),0,0,happy zebra
S9656,8/30/2012,Calexico Den (HZ),716760,9842976,happy zebra
S9658,9/3/2012,Mexicali Den (HZ),0,0,happy zebra
