"","tmp1","tmp2","tmp3","tmp4"
"1",2012,1,733399,9842432
"2",2012,1,732238,9842284
"3",2012,1,731260,9841640
"4",2012,1,731317,9841604
"5",2012,1,731920,9841833
"6",2012,1,735943,9842550
"7",2012,1,732649,9841954
"8",2012,1,732238,9842284
"9",2012,1,731241,9841932
"10",2012,1,731223,9841796
"11",2012,1,731247,9841470
"12",2012,1,731914,9841862
"13",2012,1,732113,9841366
"14",2012,1,731161,9841880
"15",2012,1,731212,9841720
"16",2012,1,730669,9841844
"17",2012,1,731637,9841804
"18",2012,1,731920,9841833
"19",2012,1,732332,9841828
"20",2012,1,732238,9842284
"21",2012,1,734774,9842590
"22",2012,1,731497,9841193
"23",2012,1,730086,9841970
"24",2012,1,731468,9841764
"25",2012,1,732238,9842284
"26",2012,1,732941,9842574
"27",2012,1,734054,9842546
"28",2012,1,731920,9841833
"29",2012,1,731794,9841805
"30",2012,1,731316,9842114
"31",2012,1,732238,9842284
"32",2012,1,731435,9841868
"33",2012,1,731851,9839582
"34",2012,1,731053,9841776
"35",2012,1,734429,9842854
"36",2012,1,731920,9841833
"37",2012,1,731405,9841776
"38",2012,1,730408,9841830
"39",2012,1,730819,9841834
"40",2012,1,731129,9841750
"41",2012,1,731435,9841862
"42",2012,1,732238,9842284
"43",2012,1,730852,9841836
"44",2012,1,731794,9841805
"45",2012,1,738871,9843632
"46",2012,1,731144,9843740
"47",2012,1,731567,9843896
"48",2012,1,734880,9845934
"49",2012,1,731144,9843740
"50",2012,1,731144,9843740
"51",2012,1,731034,9843208
"52",2012,1,731144,9843740
"53",2012,1,731476,9843866
"54",2012,1,731733,9844054
"55",2012,2,731144,9843740
"56",2012,2,731144,9843740
"57",2012,2,731144,9843740
"58",2012,2,731144,9843740
"59",2012,2,734168,9843474
"60",2012,2,730897,9840882
"61",2012,2,731144,9843740
"62",2012,2,731144,9843740
"63",2012,2,731144,9843740
"64",2012,2,731474,9845944
"65",2012,2,732528,9845012
"66",2012,2,732869,9842292
"67",2012,2,732508,9849918
"68",2012,2,731144,9843740
"69",2012,2,732455,9844054
"70",2012,2,735209,9844624
"71",2012,3,731506,9841794
"72",2012,3,731413,9841810
"73",2012,3,731501,9842004
"74",2012,3,731144,9843740
"75",2012,3,731713,9841690
"76",2012,3,730374,9841302
"77",2012,3,731652,9841826
"78",2012,3,733102,9841922
"79",2012,3,732557,9842362
"80",2012,3,731144,9843740
"81",2012,3,732116,9841626
"82",2012,3,731144,9843740
"83",2012,3,733180,9844044
"84",2012,3,731144,9843740
"85",2012,3,732197,9833316
"86",2012,3,732445,9845032
"87",2012,3,733163,9844882
"88",2012,3,731687,9841814
"89",2012,3,731278,9841730
"90",2012,3,730678,9841478
"91",2012,6,736063,9844428
"92",2012,6,731144,9843740
"93",2012,6,731604,9843698
"94",2012,6,731645,9843612
"95",2012,6,734205,9844398
"96",2012,6,732584,9841950
"97",2012,7,732528,9844077
"98",2012,7,731645,9843612
"99",2012,7,731144,9843740
"100",2012,7,733176,9842198
"101",2012,7,731355,9841742
"102",2012,7,732195,9840607
"103",2012,7,732773,9841076
"104",2012,7,734932,9842156
"105",2012,7,731645,9843612
"106",2012,7,731144,9843740
