SESSION,DATE,landmarkid,utme,utmn,clan
S8054,7/30/2012,Cripple Tree (South),723418,9847514,
S9742,11/25/2012,North Darting Tree (North),718880,9845960,
S9791,12/26/2012,Scrawny Sausage Tree (HZ),719999,9839302,
S9947,2/5/2013,,0,0,serena n
S9986,2/11/2013,,0,0,serena n
S10311,2/22/2013,,0,0,serena n
S10811.2,6/20/2013,,0,0,serena n
S10811.2,6/20/2013,,0,0,serena n
S11007,9/6/2013,,0,0,serena n
S11173,10/25/2013,,0,0,serena n
S11224.1,11/5/2013,,0,0,serena n
S13600,3/28/2014,,0,0,serena n
S9959,2/7/2013,,719974,9851160,serena n
S10337,2/27/2013,,720817,9847465,serena n
S11110,10/8/2013,,721661,9847389,serena n
S11389,12/24/2013,,722176,9846805,serena n
S11112,10/10/2013,,724048,9846984,serena n
S10579,5/12/2013,,724596,9845329,serena n
S11153,10/21/2013,4km Marker (North),0,0,serena n
S11337,12/7/2013,4km Marker (North),0,0,serena n
S7980,7/12/2012,4km Marker (North),722150,9844692,serena n
S7979,7/12/2012,4km Marker (North),722150,9844692,serena n
S13254,1/20/2014,4km Marker (North),722425,9844754,serena n
S13469,3/1/2014,50km Sign (),716704,9847651,serena n
S7996,7/14/2012,Airfield (North),722445,9844752,serena n
S10144,7/29/2013,Airfield (North),722728,9844990,serena n
S11075,9/29/2013,Airfield (North),722829,9844812,serena n
S11195,10/28/2013,Airfield (North),722886,9844813,serena n
S8462,11/12/2012,Airfield (North),722958,9844658,serena n
S8282,8/8/2012,Airfield (North),722963,9844828,serena n
S8387,10/22/2012,Airfield (North),723036,9844844,serena n
S9977,2/9/2013,Airfield (North),723058,9844836,serena n
S10885,8/4/2013,Airfield (North),723090,9845102,serena n
S11215,11/3/2013,Airfield (North),723143,9845039,serena n
S11175,10/26/2013,Airfield (North),723178,9844856,serena n
S9978,2/9/2013,Airfield (North),723186,9844856,serena n
S7997,7/15/2012,Airfield (North),723224,9844866,serena n
S8279,8/6/2012,Airfield (North),723293,9844872,serena n
S10141,7/28/2013,Airfield (North),723298,9845492,serena n
S13307,2/1/2014,Airfield (North),723321,9844566,serena n
S8441,11/8/2012,Airfield (North),723338,9844660,serena n
S9969,2/7/2013,Airfield (North),723440,9844918,serena n
S10749,6/17/2013,Airfield (North),723464,9844926,serena n
S11331,12/5/2013,Airfield (North),723471,9844927,serena n
S13240,1/16/2014,Airfield (North),723589,9844544,serena n
S13429,2/25/2014,Airfield (North),723605,9844536,serena n
S8304,7/31/2013,Airfield (North),723724,9844972,serena n
S10161,7/30/2013,Airfield (North),723733,9844971,serena n
S13317,2/4/2014,Airfield (North),723869,9844948,serena n
S8334,9/11/2012,Airfield (North),723894,9844940,serena n
S9857,1/13/2013,Airfield (North),723929,9844927,serena n
S10361,3/2/2013,Airfield (North),723972,9844912,serena n
S10563,5/10/2013,Airfield (North),724031,9844893,serena n
S11187.1,10/28/2013,Airfield (North),724037,9844896,serena n
S9886,1/22/2013,Airstrip Den (North),724013,9844986,serena n
S13497,3/9/2014,Back Pack Den (North),0,0,serena n
S8324.1,8/29/2012,Belgrade Den (North),0,0,serena n
S8325.1,8/29/2012,Belgrade Den (North),0,0,serena n
S8322,8/29/2012,Belgrade Den (North),0,0,serena n
S8322,8/29/2012,Belgrade Den (North),0,0,serena n
S8324,8/29/2012,Belgrade Den (North),0,0,serena n
S8326,8/29/2012,Belgrade Den (North),0,0,serena n
S8330,9/1/2012,Belgrade Den (North),0,0,serena n
S8365,9/28/2012,Belgrade Den (North),719991,9851208,serena n
S10030,7/7/2013,Benedict Den (North),0,0,serena n
S11881,9/7/2013,Benson's Crossing (South),725643,9841865,serena n
S11083,9/30/2013,Biscuits n' Gravy Den (North),0,0,serena n
S11078,9/30/2013,Biscuits n' Gravy Den (North),0,0,serena n
S11076,9/30/2013,Biscuits n' Gravy Den (North),0,0,serena n
S11085,10/2/2013,Biscuits n' Gravy Den (North),0,0,serena n
S11167,10/25/2013,Biscuits n' Gravy Den (North),0,0,serena n
S11188,10/28/2013,Biscuits n' Gravy Den (North),0,0,serena n
S11198,10/29/2013,Biscuits n' Gravy Den (North),0,0,serena n
S11204,10/31/2013,Biscuits n' Gravy Den (North),0,0,serena n
S11217,11/3/2013,Biscuits n' Gravy Den (North),0,0,serena n
S11229,11/6/2013,Biscuits n' Gravy Den (North),0,0,serena n
S10067,7/14/2013,Blowin' in the Wind Tree (North),0,0,serena n
S8307,8/22/2012,Blowin' in the Wind Tree (North),720934,9845326,serena n
S10491,4/14/2013,Blowin' in the Wind Tree (North),720934,9845313,serena n
S8284,8/9/2012,Blowin' in the Wind Tree (North),720938,9845934,serena n
S10147,7/29/2013,Blowin' in the Wind Tree (North),720938,9845297,serena n
S8574,12/14/2012,Blowin' in the Wind Tree (North),720957,9845228,serena n
S9854,1/11/2013,Blowin' in the Wind Tree (North),721294,9844877,serena n
S11381,12/24/2013,Blowin' in the Wind Tree (North),721320,9844825,serena n
S8589,12/21/2012,Blowin' in the Wind Tree (North),721407,9844790,serena n
S9870,1/15/2013,Blowin' in the Wind Tree (North),721422,9844778,serena n
