SESSION,DATE,landmarkid,utme,utmn
77502,7/1/2012,Big Bush Communal Den (Talek),0,0
77507,7/1/2012,0,749082,9834896
77506,7/1/2012,0,747672,9835597
77508,7/1/2012,0,748892,9836170
77505,7/1/2012,0,747407,9836735
77512,7/1/2012,Box Crossing (Talek),748206,9837953
77511,7/1/2012,0,746430,9838248
77504,7/1/2012,0,747047,9838265
77513,7/1/2012,Riverbend Den (Talek),748477,9838427
77514,7/1/2012,Big Bush Den (Talek),748061,9838502
77503,7/1/2012,Resurrection Communal Den (Talek),747569,9838508
77510,7/1/2012,0,745903,9838594
77509,7/1/2012,0,743669,9840260
77518,7/2/2012,0,749030,9836442
77524,7/2/2012,0,749028,9836453
77521,7/2/2012,Stupid Tree (Talek),746997,9836480
77519,7/2/2012,0,749072,9836818
77522,7/2/2012,Camel Crossing (Talek),749138,9837259
77520,7/2/2012,0,750544,9837776
77515,7/2/2012,0,748569,9837854
77523,7/2/2012,0,748447,9838146
77525,7/2/2012,Saga Lugga Crossing (Talek),746269,9838353
77523,7/2/2012,Riverbend Den (Talek),748477,9838427
77523,7/2/2012,Riverbend Den (Talek),748477,9838427
77516,7/2/2012,Riverbend Den (Talek),748477,9838427
77523,7/2/2012,Riverbend Den (Talek),748477,9838427
77529,7/2/2012,Big Bush Den (Talek),748061,9838502
77517,7/2/2012,Big Bush Den (Talek),748061,9838502
77528,7/2/2012,0,744901,9839388
77526,7/2/2012,0,744432,9840047
77527,7/2/2012,0,743755,9840163
77548,7/3/2012,0,749135,9837106
77547,7/3/2012,0,748876,9837244
77549,7/3/2012,Camel Crossing (Talek),749138,9837259
77542,7/3/2012,Camel Crossing (Talek),749138,9837259
77530,7/3/2012,0,749649,9837304
77546,7/3/2012,0,749015,9837310
77531,7/3/2012,0,749010,9837318
77536,7/3/2012,Cheetah Tree Crossing (Talek),748565,9837620
77532,7/3/2012,0,748650,9837676
77552,7/3/2012,0,751282,9837756
77537,7/3/2012,0,748403,9837760
77534,7/3/2012,0,748248,9837964
77550,7/3/2012,0,748356,9838122
77535,7/3/2012,Saga Lugga (Talek),746095,9838250
77533,7/3/2012,Riverbend Den (Talek),748477,9838427
77551,7/3/2012,Riverbend Den (Talek),748477,9838427
77543,7/3/2012,0,745921,9838526
77544,7/3/2012,0,745538,9838646
77538,7/3/2012,Border Tree (Talek),745310,9838783
77541,7/3/2012,0,744762,9839466
77539,7/3/2012,0,744656,9839883
77545,7/3/2012,0,744243,9840089
77540,7/3/2012,0,743046,9840369
77560,7/4/2012,Magic Culvert (Talek),747371,9836013
77559,7/4/2012,0,749168,9837118
77555,7/4/2012,Camel Crossing (Talek),749138,9837259
77569,7/4/2012,Camel Crossing (Talek),749138,9837259
77568,7/4/2012,0,748893,9837534
77562,7/4/2012,Paul's Tree (Talek),751530,9837604
77554,7/4/2012,0,748280,9837816
77563,7/4/2012,0,748302,9837822
77553,7/4/2012,0,748259,9837845
77558,7/4/2012,0,748216,9837848
77570,7/4/2012,0,748427,9837989
77573,7/4/2012,0,748438,9838021
77567,7/4/2012,0,746887,9838268
77571,7/4/2012,Riverbend Den (Talek),748477,9838427
77571,7/4/2012,Riverbend Den (Talek),748477,9838427
77556,7/4/2012,Riverbend Den (Talek),748477,9838427
77566,7/4/2012,0,746763,9838456
77565,7/4/2012,0,746140,9838486
77572,7/4/2012,Big Bush Den (Talek),748061,9838502
77557,7/4/2012,Big Bush Den (Talek),748061,9838502
77564,7/4/2012,0,746031,9838616
77561,7/4/2012,0,743481,9840794
77561,7/4/2012,0,743481,9840794
77561,7/4/2012,0,743487,9841160
77592,7/5/2012,~location non standard (),0,0
77584,7/5/2012,Vulture Crossing (Talek),0,0
77578,7/5/2012,0,747278,9836542
77580,7/5/2012,Main Den One Creek Crossing (Talek),747796.875,9836633
77586,7/5/2012,Main Den One Creek Crossing (Talek),747796.875,9836633
77587,7/5/2012,0,747687,9836677
77585,7/5/2012,0,747915,9836756
77579,7/5/2012,0,747516,9836862
77583,7/5/2012,0,748125,9836937
77574,7/5/2012,0,749143,9837486
77596,7/5/2012,0,746236,9837814
77595,7/5/2012,Box Crossing (Talek),748090,9837837
77589,7/5/2012,0,747304,9837977
77577,7/5/2012,0,747494,9838082
77593,7/5/2012,0,748436,9838091
77590,7/5/2012,Centre Tree (Talek),747366,9838133
77575,7/5/2012,0,748450,9838192
77594,7/5/2012,Riverbend Den (Talek),748477,9838427
77576,7/5/2012,Riverbend Den (Talek),748477,9838427
77591,7/5/2012,Big Bush Den (Talek),748061,9838502
77597,7/5/2012,Big Bush Den (Talek),748061,9838502
77588,7/5/2012,0,744620,9839321
77611,7/6/2012,Vulture Crossing (Talek),0,0
77603,7/6/2012,0,746693,9836681
77613,7/6/2012,0,748094,9836704
77614,7/6/2012,0,748303,9836822
77615,7/6/2012,0,748804,9836924
77612,7/6/2012,0,747834,9836976
77606,7/6/2012,Crazy Tree Crossing (Talek),749316,9837198
77602,7/6/2012,0,748821,9837218
77616,7/6/2012,Camel Crossing (Talek),749138,9837259
77598,7/6/2012,0,749030,9837412
77610,7/6/2012,0,747736,9837458
77605,7/6/2012,Suicide Crossing (Talek),751870,9837590
77599,7/6/2012,0,748729,9837610
77601,7/6/2012,0,748032,9837647
77604,7/6/2012,0,750603,9837788
77617,7/6/2012,0,748360,9837824
77618,7/6/2012,0,748482,9838108
77620,7/6/2012,0,748420,9838216
77609,7/6/2012,0,746412,9838250
77619,7/6/2012,Riverbend Den (Talek),748477,9838427
77600,7/6/2012,Riverbend Den (Talek),748477,9838427
77621,7/6/2012,Big Bush Den (Talek),748061,9838502
77607,7/6/2012,Little Bend Crossing (Talek),744307,9838557
77608,7/6/2012,0,743103,9840348
77631,7/7/2012,0,748665,9836108
77630,7/7/2012,0,748796,9836176
77629,7/7/2012,Camel Crossing (Talek),749138,9837259
77622,7/7/2012,0,748897,9837532
77623,7/7/2012,0,748114,9837980
77624,7/7/2012,0,747782,9838026
77625,7/7/2012,0,747595,9838046
77626,7/7/2012,0,747172,9838170
77634,7/7/2012,0,748456,9838218
