Easting,Northing,Clan,Count,Date,Year,Month,Day,Time
747672,9835597,TW,2,7/1/2012,2012,7,1,6:51
749082,9834896,TW,5,7/1/2012,2012,7,1,6:56
720930,9849994,SN,1,7/1/2012,2012,7,1,6:20
720921,9850564,SN,1,7/1/2012,2012,7,1,7:28
749030,9836442,TW,1,7/2/2012,2012,7,2,8:14
749072,9836818,TW,1,7/2/2012,2012,7,2,8:16
750544,9837776,TW,1,7/2/2012,2012,7,2,8:23
749028,9836453,TW,2,7/2/2012,2012,7,2,17:12
746269,9838353,TW,1,7/2/2012,2012,7,2,18:32
744432,9840047,TW,1,7/2/2012,2012,7,2,18:40
743755,9840163,TW,1,7/2/2012,2012,7,2,18:42
742032,9840414,FT,2,7/2/2012,2012,7,2,19:17
749138,9837259,TW,2,7/3/2012,2012,7,3,18:58
741603,9840958,FT,2,7/3/2012,2012,7,3,18:45
723573,9847194,SN,2,7/3/2012,2012,7,3,17:23
721924,9847696,SN,2,7/3/2012,2012,7,3,17:31
725179,9843638,SS,1,7/3/2012,2012,7,3,5:57
726810,9842190,SS,2,7/3/2012,2012,7,3,8:04
747371,9836013,TW,1,7/4/2012,2012,7,4,6:29
726298,9842460,SS,1,7/4/2012,2012,7,4,6:23
727202,9842261,SS,1,7/4/2012,2012,7,4,8:17
725305,9843366,SS,1,7/4/2012,2012,7,4,17:09
747797,9836633,TW,2,7/5/2012,2012,7,5,7:43
747797,9836633,TW,2,7/5/2012,2012,7,5,17:56
724475,9845876,SN,1,7/5/2012,2012,7,5,7:18
724529,9846377,SN,1,7/5/2012,2012,7,5,7:20
748032,9837647,TW,1,7/6/2012,2012,7,6,6:39
750603,9837788,TW,2,7/6/2012,2012,7,6,8:29
744307,9838557,TW,1,7/6/2012,2012,7,6,17:49
743521,9838480,TW,1,7/7/2012,2012,7,7,7:44
741835,9840430,FT,1,7/7/2012,2012,7,7,7:26
728111,9840724,SS,1,7/8/2012,2012,7,8,8:28
727145,9842350,SS,1,7/8/2012,2012,7,8,8:50
744962,9839590,TW,1,7/9/2012,2012,7,9,18:42
745793,9838501,TW,1,7/9/2012,2012,7,9,18:50
751870,9837590,TW,1,7/9/2012,2012,7,9,20:09
733176,9842198,MR,1,7/9/2012,2012,7,9,8:05
748359,9837106,TW,1,7/10/2012,2012,7,10,6:46
744333,9840655,TW,5,7/10/2012,2012,7,10,7:42
726897,9842042,SS,2,7/10/2012,2012,7,10,6:29
745088,9838043,TW,1,7/11/2012,2012,7,11,17:50
725109,9844676,SN,2,7/11/2012,2012,7,11,5:52
727558,9840214,SS,1,7/11/2012,2012,7,11,6:59
746604,9838360,TW,2,7/12/2012,2012,7,12,6:35
744928,9839377,TW,3,7/12/2012,2012,7,12,6:42
744665,9839867,TW,1,7/12/2012,2012,7,12,7:26
744060,9838960,TW,1,7/12/2012,2012,7,12,7:54
744978,9839448,TW,1,7/12/2012,2012,7,12,8:09
725176,9842435,SS,2,7/13/2012,2012,7,13,6:39
726855,9842167,SS,2,7/13/2012,2012,7,13,8:32
725305,9843366,SS,2,7/13/2012,2012,7,13,8:59
748590,9836706,TW,1,7/14/2012,2012,7,14,8:30
751530,9837604,TW,2,7/14/2012,2012,7,14,8:48
745901,9838492,TW,1,7/14/2012,2012,7,14,17:38
748846,9836820,TW,2,7/14/2012,2012,7,14,18:29
728448,9840838,SS,1,7/14/2012,2012,7,14,17:42
727479,9841898,SS,1,7/14/2012,2012,7,14,18:44
751530,9837604,TW,1,7/15/2012,2012,7,15,8:59
723224,9844866,SN,2,7/15/2012,2012,7,15,6:00
749836,9834221,TW,1,7/16/2012,2012,7,16,7:41
748222,9836706,TW,1,7/16/2012,2012,7,16,8:20
745815,9838498,TW,1,7/16/2012,2012,7,16,18:22
742332,9840956,FT,1,7/16/2012,2012,7,16,18:31
744790,9838518,TW,1,7/17/2012,2012,7,17,8:11
743774,9840150,TW,2,7/17/2012,2012,7,17,19:43
741956,9841178,FT,1,7/17/2012,2012,7,17,7:53
720751,9851603,SN,1,7/17/2012,2012,7,17,18:08
748051,9836664,TW,2,7/18/2012,2012,7,18,7:12
749074,9836624,TW,2,7/18/2012,2012,7,18,7:30
725217,9842489,SS,1,7/18/2012,2012,7,18,6:11
725219,9841920,SS,1,7/18/2012,2012,7,18,6:13
724557,9846262,SN,1,7/19/2012,2012,7,19,17:04
748961,9836296,TW,2,7/20/2012,2012,7,20,7:04
737034,9852204,TW,2,7/20/2012,2012,7,20,7:28
725584,9844376,SS,2,7/20/2012,2012,7,20,8:46
748173,9836570,TW,1,7/21/2012,2012,7,21,17:49
747797,9836633,TW,2,7/21/2012,2012,7,21,18:37
743802,9840132,TW,2,7/22/2012,2012,7,22,17:59
748541,9836680,TW,2,7/22/2012,2012,7,22,18:18
726874,9842512,SS,2,7/22/2012,2012,7,22,17:39
745056,9839130,TW,1,7/24/2012,2012,7,24,17:52
743764,9840044,TW,2,7/24/2012,2012,7,24,18:01
744792,9838372,TW,1,7/24/2012,2012,7,24,18:11
748558,9836680,TW,2,7/24/2012,2012,7,24,18:50
723764,9846984,SN,1,7/24/2012,2012,7,24,6:17
722922,9840442,SS,1,7/24/2012,2012,7,24,17:41
728392,9840880,SS,1,7/24/2012,2012,7,24,18:18
726525,9842438,SS,2,7/24/2012,2012,7,24,18:34
727131,9842644,SS,2,7/24/2012,2012,7,24,19:02
747371,9836013,TW,1,7/25/2012,2012,7,25,7:40
751870,9837590,TW,2,7/25/2012,2012,7,25,19:58
743856,9840070,TW,2,7/26/2012,2012,7,26,6:17
747075,9838275,TW,1,7/26/2012,2012,7,26,6:23
748415,9837764,TW,2,7/26/2012,2012,7,26,6:52
749039,9836442,TW,2,7/26/2012,2012,7,26,17:55
746269,9838353,TW,1,7/26/2012,2012,7,26,18:12
742287,9840958,FT,1,7/26/2012,2012,7,26,8:14
721834,9847328,SN,3,7/26/2012,2012,7,26,9:35
744748,9838636,TW,1,7/27/2012,2012,7,27,18:57
742577,9840849,FT,2,7/27/2012,2012,7,27,5:57
741419,9841174,FT,1,7/27/2012,2012,7,27,18:26
745536,9838556,TW,1,7/28/2012,2012,7,28,7:55
746895,9836516,TW,1,7/28/2012,2012,7,28,8:18
723522,9847278,SN,1,7/28/2012,2012,7,28,19:49
741195,9840476,FT,1,7/29/2012,2012,7,29,6:29
748846,9840331,FT,1,7/29/2012,2012,7,29,7:49
744813,9838582,TW,3,7/30/2012,2012,7,30,6:55
745450,9838556,TW,1,7/30/2012,2012,7,30,7:54
722610,9847204,SN,1,7/30/2012,2012,7,30,17:30
