Easting,Northing,Clan,SumOfTotal,Date,Year,Month,Day,Time
742563,9839126,TW,2,1/3/2014,2014,1,3,18:00
742925,9839149,TW,1,1/6/2014,2014,1,6,8:24
747035,9837410,TW,2,1/7/2014,2014,1,7,6:47
741687,9838477,TW,4,1/7/2014,2014,1,7,8:51
743691,9834098,TW,3,1/8/2014,2014,1,8,17:46
741725,9838452,TW,4,1/9/2014,2014,1,9,8:01
745038,9838128,TW,3,1/10/2014,2014,1,10,17:36
750216,9835845,TW,2,1/11/2014,2014,1,11,7:48
742423,9836128,TW,3,1/15/2014,2014,1,15,18:06
749557,9834160,TW,3,1/19/2014,2014,1,19,8:45
742793,9839246,TW,4,1/20/2014,2014,1,20,7:37
747315,9835313,TW,7,1/20/2014,2014,1,20,8:21
750345,9836974,TW,1,1/26/2014,2014,1,26,7:35
749291,9836145,TW,1,1/28/2014,2014,1,28,7:04
749197,9835837,TW,1,1/28/2014,2014,1,28,7:17
745309,9833940,TW,3,1/28/2014,2014,1,28,7:54
748936,9835645,TW,1,1/28/2014,2014,1,28,17:45
746604,9838360,TW,1,1/30/2014,2014,1,30,5:36
750262,9834226,TW,1,2/2/2014,2014,2,2,7:06
750262,9834226,TW,1,2/2/2014,2014,2,2,7:38
745283,9838709,TW,7,2/10/2014,2014,2,10,20:13
743681,9836686,TW,3,2/12/2014,2014,2,12,8:15
743585,9838217,TW,6,2/14/2014,2014,2,14,17:34
742717,9839154,TW,2,2/21/2014,2014,2,21,8:05
742355,9838815,TW,5,2/21/2014,2014,2,21,8:12
744359,9834477,TW,3,2/22/2014,2014,2,22,18:17
743675,9836487,TW,3,2/24/2014,2014,2,24,18:28
743754,9838238,TW,1,3/16/2014,2014,3,16,18:00
741343,9834982,TW,3,3/22/2014,2014,3,22,18:00
738994,9842959,FT,1,1/23/2014,2014,1,23,17:50
737074,9837269,FT,9,3/12/2014,2014,3,12,8:02
734106,9839293,MR,1,3/11/2014,2014,3,11,8:28
721834,9847328,SN,4,1/4/2014,2014,1,4,17:44
721790,9846658,SN,2,1/6/2014,2014,1,6,7:43
722425,9844754,SN,1,1/20/2014,2014,1,20,7:41
720048,9847835,SN,10,1/24/2014,2014,1,24,18:18
721588,9847550,SN,1,1/24/2014,2014,1,24,18:38
724586,9847411,SN,2,1/27/2014,2014,1,27,18:20
719822,9847499,SN,1,2/25/2014,2014,2,25,8:42
725233,9843838,SS,1,1/5/2014,2014,1,5,5:43
727493,9842689,SS,3,2/25/2014,2014,2,25,18:36
727276,9840484,SS,2,2/27/2014,2014,2,27,7:12
715779,9836212,HZ,2,1/2/2014,2014,1,2,7:44
721322,9844287,HZ,2,1/5/2014,2014,1,5,17:15
719235,9838638,HZ,4,1/17/2014,2014,1,17,7:40
716603,9842821,HZ,4,1/25/2014,2014,1,25,18:28
718864,9841965,HZ,1,1/30/2014,2014,1,30,17:20
717083,9841632,HZ,4,2/1/2014,2014,2,1,7:19
718796,9840149,HZ,1,2/8/2014,2014,2,8,7:06
720116,9840087,HZ,1,2/8/2014,2014,2,8,7:24
718296,9839943,HZ,3,2/9/2014,2014,2,9,17:51
716389,9840426,HZ,3,2/11/2014,2014,2,11,8:12
718296,9839943,HZ,1,3/10/2014,2014,3,10,7:59
720712,9841909,HZ,2,3/22/2014,2014,3,22,8:21
746867,9835628,TW,3,1/3/2013,2013,1,3,7:43
745310,9838783,TW,4,1/10/2013,2013,1,10,19:56
750025,9834328,TW,2,1/13/2013,2013,1,13,17:46
745178,9839118,TW,2,1/19/2013,2013,1,19,6:56
745018,9838398,TW,2,1/21/2013,2013,1,21,18:17
745472,9838676,TW,1,1/22/2013,2013,1,22,6:19
745310,9838783,TW ,4,1/22/2013,2013,1,22,6:20
743722,9840562,TW,4,1/24/2013,2013,1,24,18:43
742104,9842026,TW,16,1/26/2013,2013,1,26,17:47
742554,9841766,TW,1,1/27/2013,2013,1,27,18:10
742115,9841985,TW,8,1/27/2013,2013,1,27,18:31
744106,9838918,TW,4,1/28/2013,2013,1,28,18:05
745671,9838501,TW,4,2/1/2013,2013,2,1,17:32
743446,9839350,TW,2,2/1/2013,2013,2,1,17:50
743522,9839298,TW,2,2/4/2013,2013,2,4,6:37
744083,9840010,TW,4,2/4/2013,2013,2,4,6:57
745486,9838530,TW,3,2/4/2013,2013,2,4,19:05
745350,9838582,TW,1,2/4/2013,2013,2,4,19:11
744577,9837956,TW,2,2/5/2013,2013,2,5,7:42
744395,9838300,TW,2,2/5/2013,2013,2,5,18:39
745505,9838869,TW,1,2/7/2013,2013,2,7,6:53
744927,9839015,TW,3,2/7/2013,2013,2,7,6:58
